AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,PctCarbKarstH8,PctVolcKarstH8,AquiRichH8,vrm_mean,MeanSBDH8_rev,hli_mean_rev,hydroSumW,hydroCompositeStd,PctChange_Bio19_MEAN_H8,MeanDifSWEH8,Diff_bio8_rev,Diff_bio9_rev,MeanDifPNVH8_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
26059.150000000001455,105.460000000000008,"AZ,NM",1.504E+11,Wood Canyon,1.504E+11,-0.688599357,-0.223782531,-0.111722521,-0.732119826,-0.948850847,-0.701957298,-0.619143403,0.138122272,-1.114115515,0.105435996,0.288575649,1.188038164903620,-1.289377412,-0.162382705,0.432630459,0.570752731,0.285376365,0.432630459,0.138122272,47778.566152917643194,79686035.386773765087128,1,2
41693.330000000001746,168.729999999999990,"AZ,NM",1.504E+11,Doubtful Canyon,CLOSED BASIN,-0.688599357,-0.223782531,-0.111722521,-0.543021457,-0.948850847,-0.577355197,-0.587354454,0.1494957,-1.114115515,0.105435996,0.288575649,1.188038164903620,-1.289377412,-0.162382705,0.432630459,0.582126159,0.29106308,0.432630459,0.1494957,64161.925698410021141,151101035.636758297681808,1,2
20933.770000000000437,84.719999999999999,"AZ,NM",1.504E+11,Trout Creek,1.504E+11,-0.711003078,-0.374405165,-1.161980525,0.389650795,0.709342635,-0.749984942,-0.096709661,0.325038255,0.949079305,2.045910007146670,0.83072965,1.232357506182150,2.030794983876840,1.545195755837780,1.000000000000000,1.325038255359090,0.662519128,1.000000000000000,0.325038255,49985.751475076380302,53314268.940560556948185,3,5
35768.230000000003201,144.750000000000000,"AZ,NM",1.504E+11,Stone Creek-San Francisco River,1.504E+11,-0.711003078,-0.374405165,-1.161980525,0.923798326,0.709342635,-0.306639227,0.000808994,0.359928412,0.949079305,2.045910007146670,0.83072965,1.232357506182150,2.030794983876840,1.545195755837780,1.000000000000000,1.359928412494010,0.679964206,1.000000000000000,0.359928412,59582.617502830842568,98792887.225224182009697,3,5
25046.959999999999127,101.359999999999999,"AZ,NM",1.504E+11,Dry Blue Creek,1.504E+11,-0.711003078,-0.374405165,-1.161980525,2.541882571942170,0.709342635,-0.931893885,0.129848399,0.406096042,0.949079305,2.045910007146670,0.83072965,1.232357506182150,2.030794983876840,1.545195755837780,1.000000000000000,1.406096041724950,0.703048021,1.000000000000000,0.406096042,45128.512807581784728,77901740.476261332631111,4,5
34221.160000000003492,138.490000000000009,"AZ,NM",1.504E+11,Campbell Blue Creek,1.504E+11,-0.711003078,-0.374405165,-1.161980525,4.455720039466890,0.709342635,-3.703035866,0.110748373,0.399262448,0.949079305,2.045910007146670,0.83072965,1.232357506182150,2.030794983876840,1.545195755837780,1.000000000000000,1.399262447670270,0.699631224,1.000000000000000,0.399262448,9890.187791128764729,2611217.487498464062810,4,5
17311.420000000001892,70.060000000000002,"AZ,NM",1.504E+11,Centerfire Creek-Blue River,1.504E+11,-0.711003078,-0.374405165,-1.161980525,1.992627267510670,0.709342635,-1.800889993,-0.005347464,0.357725759,0.949079305,2.045910007146670,0.83072965,1.232357506182150,2.030794983876840,1.545195755837780,1.000000000000000,1.357725759230790,0.67886288,1.000000000000000,0.357725759,22036.163459711919131,9989885.912608649581671,3,5
37761.129999999997381,152.810000000000002,"AZ,NM",1.504E+11,Steeple Canyon-Blue River,1.504E+11,-0.711003078,-0.374405165,-1.161980525,2.057732184870440,0.709342635,-1.879001122,-0.004631458,0.357981931,0.949079305,2.045910007146670,0.83072965,1.232357506182150,2.030794983876840,1.545195755837780,1.000000000000000,1.357981931209550,0.678990966,1.000000000000000,0.357981931,43706.888446183183987,23010659.691667459905148,3,5
21552.560000000001310,87.219999999999999,"AZ,NM",1.504E+11,Upper Pueblo Creek,1.504E+11,-0.711003078,-0.374405165,-1.161980525,2.573728221590110,0.709342635,-1.105054997,0.118791416,0.402140082,0.949079305,2.045910007146670,0.83072965,1.232357506182150,2.030794983876840,1.545195755837780,1.000000000000000,1.402140081920680,0.701070041,1.000000000000000,0.402140082,53046.931932693085400,87404201.529554456472397,4,5
29506.279999999998836,119.409999999999997,"AZ,NM",1.504E+11,Lower Pueblo Creek,1.504E+11,-0.711003078,-0.374405165,-1.161980525,1.902266109903880,0.709342635,-0.277589136,0.113254934,0.400159243,0.949079305,2.045910007146670,0.83072965,1.232357506182150,2.030794983876840,1.545195755837780,1.000000000000000,1.400159243417190,0.700079622,1.000000000000000,0.400159243,48841.386856205179356,113098777.534476444125175,4,5
